City,Date,Crop,Price
Burewala,2020-04-01,Brown Sugar(شکر),10250
Burewala,2020-04-02,Brown Sugar(شکر),10375
Burewala,2020-04-04,Brown Sugar(شکر),10000
Burewala,2020-04-06,Brown Sugar(شکر),10250
Burewala,2020-04-07,Brown Sugar(شکر),10000
Burewala,2020-04-08,Brown Sugar(شکر),8875
Burewala,2020-04-09,Brown Sugar(شکر),10250
Burewala,2020-04-14,Brown Sugar(شکر),10250
Burewala,2020-04-15,Brown Sugar(شکر),10250
Burewala,2020-04-16,Brown Sugar(شکر),10250
Burewala,2020-04-23,Brown Sugar(شکر),10875
Burewala,2020-04-25,Brown Sugar(شکر),10250
Burewala,2020-04-27,Brown Sugar(شکر),10875
Burewala,2020-04-28,Brown Sugar(شکر),10875
Burewala,2020-04-29,Brown Sugar(شکر),10625
Burewala,2021-04-01,Brown Sugar(شکر),10625
Burewala,2021-04-03,Brown Sugar(شکر),10000
Burewala,2021-04-05,Brown Sugar(شکر),10000
Burewala,2021-04-06,Brown Sugar(شکر),9250
Burewala,2021-04-08,Brown Sugar(شکر),9000
Burewala,2021-04-13,Brown Sugar(شکر),10000
Burewala,2021-04-14,Brown Sugar(شکر),10375
Burewala,2021-04-15,Brown Sugar(شکر),10375
Burewala,2021-04-20,Brown Sugar(شکر),10000
Burewala,2021-04-21,Brown Sugar(شکر),10375
Burewala,2021-04-22,Brown Sugar(شکر),10000
Burewala,2021-04-24,Brown Sugar(شکر),10500
Burewala,2021-04-26,Brown Sugar(شکر),10375
Burewala,2021-04-27,Brown Sugar(شکر),4000
Burewala,2021-04-28,Brown Sugar(شکر),10000
Burewala,2021-04-29,Brown Sugar(شکر),10000
Burewala,2022-04-01,Brown Sugar(شکر),10000
Burewala,2022-04-04,Brown Sugar(شکر),9875
Burewala,2022-04-05,Brown Sugar(شکر),9375
Burewala,2022-04-06,Brown Sugar(شکر),10000
Burewala,2022-04-07,Brown Sugar(شکر),10000
Burewala,2022-04-09,Brown Sugar(شکر),10000
Burewala,2022-04-11,Brown Sugar(شکر),10000
Burewala,2022-04-12,Brown Sugar(شکر),8625
Burewala,2022-04-19,Brown Sugar(شکر),10000
Burewala,2022-04-20,Brown Sugar(شکر),10000
Burewala,2019-08-01,Brown Sugar(شکر),10000
Burewala,2020-08-06,Brown Sugar(شکر),11125
Burewala,2020-08-08,Brown Sugar(شکر),11000
Burewala,2020-08-10,Brown Sugar(شکر),11250
Burewala,2020-08-11,Brown Sugar(شکر),11625
Burewala,2020-08-12,Brown Sugar(شکر),11250
Burewala,2020-08-13,Brown Sugar(شکر),11250
Burewala,2020-08-17,Brown Sugar(شکر),8750
Burewala,2020-08-18,Brown Sugar(شکر),11250
Burewala,2020-08-20,Brown Sugar(شکر),11000
Burewala,2020-08-22,Brown Sugar(شکر),11000
Burewala,2020-08-24,Brown Sugar(شکر),11000
Burewala,2020-08-26,Brown Sugar(شکر),10875
Burewala,2020-08-27,Brown Sugar(شکر),11750
Burewala,2021-08-09,Brown Sugar(شکر),11500
Burewala,2021-08-10,Brown Sugar(شکر),11500
Burewala,2021-08-11,Brown Sugar(شکر),12500
Burewala,2021-08-12,Brown Sugar(شکر),12500
Burewala,2021-08-17,Brown Sugar(شکر),12750
Burewala,2021-08-25,Brown Sugar(شکر),12500
Burewala,2021-08-30,Brown Sugar(شکر),12500
Burewala,2021-08-31,Brown Sugar(شکر),12750
Burewala,2022-08-01,Brown Sugar(شکر),12500
Burewala,2022-08-03,Brown Sugar(شکر),13125
Burewala,2022-08-04,Brown Sugar(شکر),11875
Burewala,2022-08-06,Brown Sugar(شکر),13750
Burewala,2022-08-11,Brown Sugar(شکر),13125
Burewala,2022-08-16,Brown Sugar(شکر),13125
Burewala,2022-08-17,Brown Sugar(شکر),13125
Burewala,2022-08-18,Brown Sugar(شکر),12500
Burewala,2022-08-20,Brown Sugar(شکر),13125
Burewala,2022-08-22,Brown Sugar(شکر),13750
Burewala,2022-08-23,Brown Sugar(شکر),13125
Burewala,2022-08-24,Brown Sugar(شکر),13125
Burewala,2022-08-25,Brown Sugar(شکر),13125
Burewala,2022-08-29,Brown Sugar(شکر),12125
Burewala,2022-08-30,Brown Sugar(شکر),12375
Burewala,2022-08-31,Brown Sugar(شکر),12500
Burewala,2019-12-04,Brown Sugar(شکر),8750
Burewala,2019-12-05,Brown Sugar(شکر),10125
Burewala,2019-12-10,Brown Sugar(شکر),8750
Burewala,2019-12-11,Brown Sugar(شکر),9875
Burewala,2019-12-17,Brown Sugar(شکر),7750
Burewala,2019-12-18,Brown Sugar(شکر),9625
Burewala,2019-12-19,Brown Sugar(شکر),8750
Burewala,2019-12-21,Brown Sugar(شکر),10375
Burewala,2019-12-23,Brown Sugar(شکر),8750
Burewala,2019-12-24,Brown Sugar(شکر),10000
Burewala,2019-12-26,Brown Sugar(شکر),10000
Burewala,2019-12-28,Brown Sugar(شکر),10625
Burewala,2019-12-30,Brown Sugar(شکر),10875
Burewala,2020-12-01,Brown Sugar(شکر),10500
Burewala,2020-12-02,Brown Sugar(شکر),10375
Burewala,2020-12-03,Brown Sugar(شکر),9750
Burewala,2020-12-05,Brown Sugar(شکر),10125
Burewala,2020-12-07,Brown Sugar(شکر),10125
Burewala,2020-12-08,Brown Sugar(شکر),10375
Burewala,2020-12-09,Brown Sugar(شکر),10375
Burewala,2020-12-10,Brown Sugar(شکر),10125
Burewala,2020-12-12,Brown Sugar(شکر),10125
Burewala,2020-12-13,Brown Sugar(شکر),10125
Burewala,2020-12-15,Brown Sugar(شکر),10000
Burewala,2020-12-17,Brown Sugar(شکر),10375
Burewala,2020-12-19,Brown Sugar(شکر),10000
Burewala,2020-12-20,Brown Sugar(شکر),10000
Burewala,2020-12-21,Brown Sugar(شکر),10000
Burewala,2020-12-22,Brown Sugar(شکر),10000
Burewala,2020-12-23,Brown Sugar(شکر),10000
Burewala,2020-12-24,Brown Sugar(شکر),10000
Burewala,2020-12-26,Brown Sugar(شکر),10000
Burewala,2020-12-27,Brown Sugar(شکر),9375
Burewala,2020-12-28,Brown Sugar(شکر),10000
Burewala,2020-12-30,Brown Sugar(شکر),10000
Burewala,2020-12-31,Brown Sugar(شکر),10000
Burewala,2021-12-01,Brown Sugar(شکر),11250
Burewala,2021-12-02,Brown Sugar(شکر),11250
Burewala,2021-12-04,Brown Sugar(شکر),11250
Burewala,2021-12-06,Brown Sugar(شکر),11750
Burewala,2021-12-07,Brown Sugar(شکر),11500
Burewala,2021-12-08,Brown Sugar(شکر),11750
Burewala,2021-12-09,Brown Sugar(شکر),10625
Burewala,2021-12-14,Brown Sugar(شکر),12125
Burewala,2021-12-15,Brown Sugar(شکر),12875
Burewala,2021-12-16,Brown Sugar(شکر),13250
Burewala,2021-12-18,Brown Sugar(شکر),12500
Burewala,2021-12-20,Brown Sugar(شکر),11875
Burewala,2021-12-21,Brown Sugar(شکر),11250
Burewala,2021-12-22,Brown Sugar(شکر),11250
Burewala,2021-12-27,Brown Sugar(شکر),11250
Burewala,2021-12-28,Brown Sugar(شکر),11250
Burewala,2021-12-29,Brown Sugar(شکر),12500
Burewala,2021-12-30,Brown Sugar(شکر),11875
Burewala,2022-12-01,Brown Sugar(شکر),13125
Burewala,2022-12-03,Brown Sugar(شکر),12500
Burewala,2022-12-05,Brown Sugar(شکر),12125
Burewala,2022-12-06,Brown Sugar(شکر),12250
Burewala,2022-12-07,Brown Sugar(شکر),11250
Burewala,2022-12-08,Brown Sugar(شکر),11250
Burewala,2022-12-10,Brown Sugar(شکر),11250
Burewala,2022-12-12,Brown Sugar(شکر),11250
